Mean,Std,Variance,RMS,Kurtosis,Skewness,Peak,Peak_to_Peak,Crest_Factor,File
0.0,0.0,0.0,0.0,0.4086087253903056,1.0,0.42105263157894735,0.3409961685823757,0.5279311864003089,2004.02.12.10.32.39
0.8307112631769684,0.27662763850010386,0.2678578934408735,0.19885564066243866,0.430432543830569,0.7668916048178723,0.1729323308270676,0.18199233716475116,0.24129918624827273,2004.02.12.10.42.39
0.8417378143020071,0.40300097323810746,0.3924568807694504,0.33886373501020195,0.2797704764791951,0.6253945771550693,0.6052631578947367,0.4616858237547894,0.6687493283609611,2004.02.12.10.52.39
0.8643718223387586,0.7743921655769466,0.7667354129668222,0.7509482264053187,1.0,0.688905067557388,1.0,1.0000000000000002,1.0000000000000002,2004.02.12.11.02.39
0.8504833775674436,0.7367867055560868,0.7282874851898038,0.7097405159460362,0.38001565725915837,0.5918457499330037,0.18421052631578938,0.22988505747126453,0.19283354895867855,2004.02.12.11.12.39
0.9357006576493034,0.7160537609311444,0.7071430729068622,0.6833605626102681,0.21564412474530176,0.5818121622975091,0.36466165413533824,0.2739463601532568,0.37633484389367977,2004.02.12.11.22.39
0.9375179867617434,0.7632986392523726,0.755380470912784,0.7358731392762046,0.24081264703423771,0.8141160886360685,0.24812030075187952,0.25670498084291204,0.2535543610642348,2004.02.12.11.32.39
0.891653076668905,0.6341948424108566,0.6240276271621248,0.5938416576435923,0.23340053758278573,0.9896689452610832,0.2744360902255638,0.16666666666666674,0.29695135400527084,2004.02.12.11.42.39
0.9037082040951193,0.8212261786921715,0.8147919543953996,0.8014699489291868,0.15800217445749637,0.3262961509491062,0.16541353383458635,0.16283524904214564,0.16389272487608975,2004.02.12.11.52.39
0.8840160308679479,0.3286522320009784,0.31898251813283274,0.2542270166462881,0.06936892417500584,0.7242912385924856,0.13533834586466154,0.11494252873563227,0.1956942650766127,2004.02.12.12.02.39
0.917346166554749,0.853098592195785,0.8476062868884142,0.8364483805028069,0.21465880103889295,0.6306035763722905,0.2744360902255638,0.2931034482758621,0.26783292216377874,2004.02.12.12.12.39
0.9431298564256707,0.6159128565516507,0.6055452495163713,0.5717045245183368,0.4228600832159633,0.528476635480072,0.49624060150375926,0.4808429118773949,0.5234709981800731,2004.02.12.12.22.39
0.8453085195962438,0.5776705354697995,0.566978482880895,0.532985036226,0.11353716257665808,0.573886731214249,0.21804511278195493,0.22222222222222232,0.24735630862284097,2004.02.12.12.32.39
1.0,0.9476925495512631,0.9455200459427182,0.9394852374857603,0.37451314112759976,0.6542429617713449,0.33834586466165395,0.3639846743295021,0.3184798136314646,2004.02.12.12.42.39
0.8539688122874898,0.8472479708579357,0.8415760911273162,0.8324601565459773,0.3218291633868045,0.5674293244861045,0.3007518796992479,0.2739463601532568,0.29432737978987267,2004.02.12.12.52.39
0.9468444558138543,0.7679070058521251,0.7600961225580409,0.7407201903386014,0.3239986480044554,0.2866050728723728,0.10902255639097724,0.12068965517241392,0.11445550719834818,2004.02.12.13.02.39
0.8926976412027414,0.735299754089306,0.726769769367209,0.706285886836044,0.2423225820448474,0.5057175155522425,0.36466165413533824,0.3026819923371651,0.37341525846539403,2004.02.12.13.12.39
0.9314797642268624,0.6131885334712361,0.6027935727521916,0.5690386055541392,0.20631854063565774,0.5345160324934397,0.3834586466165413,0.35823754789272044,0.41002047139486386,2004.02.12.13.22.39
0.8119197603896865,0.638683552551278,0.6285700182535843,0.6025460213551508,0.08752001623480704,0.41100246907293453,0.23684210526315796,0.18965517241379337,0.2580450698850303,2004.02.12.13.32.39
0.8660612455899125,0.8055733188360943,0.7987091110057571,0.7855627288515823,0.37247530360024345,0.15018679351530176,0.4849624060150375,0.4061302681992338,0.48279524812003505,2004.02.12.13.42.39
0.9547692898027051,0.8225740929730634,0.8161779001292917,0.80132421300255,0.2718413065979001,0.835767459522843,0.2744360902255638,0.2701149425287357,0.2719816540727078,2004.02.12.13.52.39
0.9154382374572314,0.8711826884912934,0.8662644118218195,0.8566351208405418,0.13553125675198963,0.661520241577114,0.1466165413533833,0.1532567049808431,0.1392868878252136,2004.02.12.14.02.39
0.916205672624948,0.8895375975207376,0.8852312578636985,0.8770311975083853,0.169689547532206,0.5295192111507787,0.007518796992481036,0.04597701149425282,0.0,2004.02.12.14.12.39
0.8677293511975186,0.9273999686280181,0.9244492121240802,0.9210210461478212,0.28714481574206646,0.10338202041969308,0.19172932330827064,0.18582375478927227,0.17669261901765587,2004.02.12.14.22.39
0.8970730875409032,0.8732752465315698,0.8684252425755261,0.8596263780604954,0.24759172058239715,0.11779758617852404,0.357142857142857,0.360153256704981,0.3467292954457335,2004.02.12.14.32.39
0.8755635852012918,0.6067198621764902,0.5962625586463677,0.5639336603845475,0.05235128294572661,0.5801054667031862,0.23684210526315796,0.09770114942528774,0.2626607817201019,2004.02.12.14.42.39
0.9474626674767371,0.6311892308670473,0.6209870583737018,0.5885731487506103,0.1172430177342264,0.3950713381734755,0.1729323308270676,0.13409961685823757,0.19530985653626454,2004.02.12.14.52.39
0.8673616218463212,0.5948257914895319,0.5842634289165032,0.5510558630758258,0.15766022649477424,0.14618296287897967,0.21804511278195493,0.20498084291187757,0.24520903524055848,2004.02.12.15.02.39
0.8557435061128342,0.7080767002741482,0.6990177359134595,0.6775611831084412,0.08813063624424694,0.63189991361822,0.18421052631578938,0.13984674329501923,0.19648423033278317,2004.02.12.15.12.39
0.8460439782986389,0.7940694373601431,0.7869029098088536,0.7736691134868074,0.3038476095902591,0.33539173466132344,0.5488721804511276,0.40038314176245215,0.5478867795734896,2004.02.12.15.22.39
0.8645690105415748,0.753411011709785,0.7452689361183227,0.7275987734283849,0.2524682965714284,0.36609159073019176,0.2293233082706767,0.2701149425287359,0.2357890961732949,2004.02.12.15.32.39
0.9143616964580735,1.0,1.0,1.0,0.24986114154982592,0.5540690951796683,0.20300751879699241,0.21455938697318033,0.17905910365026534,2004.02.12.15.42.39
0.9076786152058751,0.5824939790955259,0.5718357838592381,0.5357096887997059,0.27440366962290913,0.2516027514325465,0.1729323308270676,0.13409961685823757,0.20138384362532613,2004.02.12.15.52.39
0.8958206759824769,0.8189849905305593,0.8124878835521114,0.7992714351760597,0.15797769456844296,0.6028737057053044,0.12781954887218028,0.149425287356322,0.12686257565014758,2004.02.12.16.02.39
0.9651989469084088,0.7049536659101108,0.6958381703456809,0.6701602476417072,0.16042344618554916,0.2788655160312753,0.06390977443608992,0.0,0.07686361881182302,2004.02.12.16.12.39
0.9173674841982967,0.6878969654233327,0.6784878050092198,0.6526371603829499,0.17740776878550146,0.2994847325394516,0.05263157894736814,0.09195402298850586,0.06738928706388858,2004.02.12.16.22.39
0.8909069591447362,0.49886707657769236,0.4879106920287528,0.44331267987294964,0.1637167006503647,0.29158666103481706,0.26691729323308255,0.18773946360153282,0.30791417382589414,2004.02.12.16.32.39
0.9141804964879182,0.9456803789932664,0.9434290933730711,0.939567823887117,0.3436675010139851,0.3137315420198273,0.4323308270676691,0.2816091954022988,0.4106601394424729,2004.02.12.16.42.39
0.8608330935098434,0.5819732769294745,0.5713113285224747,0.537048847223657,0.10486867677169048,0.7157079251533599,0.13533834586466154,0.13793103448275867,0.16319307139024009,2004.02.12.16.52.39
0.8952504290175765,0.7365577455322381,0.728053775463108,0.7075867057002316,0.439160311429369,0.38159655786755464,0.5864661654135337,0.44827586206896575,0.5947120328091844,2004.02.12.17.02.39
0.841002355599612,0.754457690100482,0.746338911197661,0.7298448361734913,0.2712965863531976,0.11082318639662464,0.10902255639097724,0.12068965517241392,0.11561869318686702,2004.02.12.17.12.39
0.9159818373676973,0.766967554658013,0.7591346494199644,0.7406622904011719,0.21231428593421603,0.3225863528431926,0.19172932330827064,0.16283524904214564,0.19683065275693234,2004.02.12.17.22.39
0.9239652948763044,0.6138214404664826,0.6034327764665779,0.5699913992521797,0.1873372752218031,0.7123967898717587,0.4022556390977443,0.22413793103448287,0.42886463931395236,2004.02.12.17.32.39
0.9004252869887763,0.6992324180220635,0.690015577625033,0.6658622864221613,0.25174371292287795,0.3387678083667129,0.2744360902255638,0.16666666666666674,0.288193103987217,2004.02.12.17.42.39
0.9369264221532951,0.6825154361770718,0.673018914136426,0.6460043001378786,0.30581626771292975,0.6111980004420767,0.4774436090225562,0.4808429118773949,0.49425976608338495,2004.02.12.17.52.39
0.9225689892239312,0.44354760309451713,0.43273082944107966,0.38058405727123024,0.21740579798139953,0.5181195401289946,0.07142857142857117,0.0823754789272031,0.11553159889809828,2004.02.12.18.02.39
0.8939500527611678,0.8036457150885497,0.796730041222931,0.7822769502940243,0.10431744037461171,0.885810400472292,0.08270676691729295,0.0517241379310347,0.08390396678798417,2004.02.12.18.12.39
